,Class,SaleDate,saleCount
0,1001,2015-04-01,12.8578977585
1,1001,2015-04-02,6.7255358696
2,1001,2015-04-03,9.29313468933
3,1001,2015-04-04,3.3330450058
4,1001,2015-04-05,2.865711689
5,1001,2015-04-06,4.02855300903
6,1001,2015-04-07,3.21925401688
7,1002,2015-04-01,0.928446352482
8,1002,2015-04-02,0.752594470978
9,1002,2015-04-03,0.117506295443
10,1002,2015-04-04,-0.0250883102417
11,1002,2015-04-05,0.017343968153
12,1002,2015-04-06,0.0482028722763
13,1002,2015-04-07,0.0305234789848
14,1004,2015-04-01,2.66256165504
15,1004,2015-04-02,2.11638259888
16,1004,2015-04-03,1.21843802929
17,1004,2015-04-04,0.515993058681
18,1004,2015-04-05,0.817259073257
19,1004,2015-04-06,0.877070784569
20,1004,2015-04-07,0.624825835228
21,1005,2015-04-01,0.483797758818
22,1005,2015-04-02,0.0410839915276
23,1005,2015-04-03,0.144648194313
24,1005,2015-04-04,-0.0354205369949
25,1005,2015-04-05,0.0524865090847
26,1005,2015-04-06,0.00415641069412
27,1005,2015-04-07,0.0211730003357
28,1006,2015-04-01,0.872529625893
29,1006,2015-04-02,0.0276456773281
30,1006,2015-04-03,-0.00173860788345
31,1006,2015-04-04,0.00738033652306
32,1006,2015-04-05,0.0121600925922
33,1006,2015-04-06,0.00213640928268
34,1006,2015-04-07,0.210190922022
35,1007,2015-04-01,0.376514941454
36,1007,2015-04-02,-0.0031259059906
37,1007,2015-04-03,-0.0031259059906
38,1007,2015-04-04,-0.0436254143715
39,1007,2015-04-05,-0.0357009768486
40,1007,2015-04-06,-0.032692193985
41,1007,2015-04-07,-0.00663781166077
42,1099,2015-04-01,0.314498841763
43,1099,2015-04-02,0.0620349049568
44,1099,2015-04-03,-0.0031259059906
45,1099,2015-04-04,-0.0153255462646
46,1099,2015-04-05,-0.0357009768486
47,1099,2015-04-06,-0.00028520822525
48,1099,2015-04-07,-0.0130578279495
49,1101,2015-04-01,0.323907285929
50,1101,2015-04-02,0.356615424156
51,1101,2015-04-03,0.118665575981
52,1101,2015-04-04,0.340463936329
53,1101,2015-04-05,0.089095979929
54,1101,2015-04-06,0.0651287138462
55,1101,2015-04-07,0.146425247192
56,1102,2015-04-01,0.313847631216
57,1102,2015-04-02,0.398070812225
58,1102,2015-04-03,0.587857961655
59,1102,2015-04-04,0.0362504422665
60,1102,2015-04-05,0.0455460250378
61,1102,2015-04-06,0.0385356247425
62,1102,2015-04-07,0.166168570518
63,1103,2015-04-01,0.512388646603
64,1103,2015-04-02,0.0492005944252
65,1103,2015-04-03,0.376752227545
66,1103,2015-04-04,0.180253684521
67,1103,2015-04-05,0.239183843136
68,1103,2015-04-06,0.0101362764835
69,1103,2015-04-07,0.0565300285816
70,1104,2015-04-01,0.0129075944424
71,1104,2015-04-02,0.00581574440002
72,1104,2015-04-03,-0.00511765480042
73,1104,2015-04-04,-0.045617043972
74,1104,2015-04-05,-0.045617043972
75,1104,2015-04-06,-0.0204618573189
76,1104,2015-04-07,-0.0335392355919
77,1201,2015-04-01,87.2153091431
78,1201,2015-04-02,84.5551071167
79,1201,2015-04-03,69.8372955322
80,1201,2015-04-04,70.9020614624
81,1201,2015-04-05,36.1400680542
82,1201,2015-04-06,50.002117157
83,1201,2015-04-07,72.6062774658
84,1202,2015-04-01,6.40063428879
85,1202,2015-04-02,7.02681875229
86,1202,2015-04-03,6.55334091187
