Class,parClass,SaleDate,saleCount,Coupon,holidayCluster,disHoliday,month,dayOfWeek,dayOfYear,weekOfYear,cumType,parCumType,hotIndex,parHotIndex,wkDaySaleCount_median,wkDaySaleCount_mean,wkDaySaleCount_max,wkDaySaleCount_min,holDaySaleCount_median,holDaySaleCount_mean,holDaySaleCount_max,holDaySaleCount_min,wkHolRatio,bonusRatio,bonusHolRatio,bonusNotHolRatio,bonusWeekProb
1001,10,2015-01-01,3,0.0,3,1.0,1,3,1,1,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-02,6,0.0,3,1.0,1,4,2,1,175.86,157.19,0.01721,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-03,7,0.0,3,1.0,1,5,3,1,175.86,157.19,0.02758,0.11165,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-04,5,0.0,1,0.5,1,6,4,1,175.86,157.19,0.00145,0.11165,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-05,9,0.0,1,0.3,1,0,5,2,175.86,157.19,0.02758,0.11165,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-06,5,0.0,1,0.3,1,1,6,2,175.86,157.19,0.01446,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-07,28,0.0,1,0.0,1,2,7,2,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-08,7,0.0,1,0.0,1,3,8,2,175.86,157.19,0.00677,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-09,4,0.0,1,0.0,1,4,9,2,175.86,157.19,0.01042,0.02076,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-10,4,0.0,2,0.0,1,5,10,2,175.86,157.19,0.0341,0.20668,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-11,3,0.0,2,0.0,1,6,11,2,175.86,157.19,0.03758,0.20668,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-12,12,0.0,1,0.0,1,0,12,3,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-13,5,0.0,1,0.0,1,1,13,3,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-14,16,0.0,1,0.0,1,2,14,3,175.86,157.19,0.02406,0.11165,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-15,9,0.0,1,0.0,1,3,15,3,175.86,157.19,0.00659,0.02076,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-16,9,0.0,1,0.0,1,4,16,3,175.86,157.19,0.02396,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-17,3,0.0,2,0.0,1,5,17,3,175.86,157.19,0.00521,0.02901,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-18,5,0.0,2,0.0,1,6,18,3,175.86,157.19,0.00105,0.0138,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-19,4,0.0,1,0.0,1,0,19,4,175.86,157.19,0.00016,0.00712,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-20,9,0.0,1,0.0,1,1,20,4,175.86,157.19,0.03758,0.20668,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-21,25,0.0,1,0.0,1,2,21,4,175.86,157.19,0.01801,0.20668,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-22,6,0.0,1,0.0,1,3,22,4,175.86,157.19,0.01107,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-23,7,0.0,1,0.0,1,4,23,4,175.86,157.19,0.02455,0.11165,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-24,2,0.0,2,0.0,1,5,24,4,175.86,157.19,0.02396,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-25,5,0.0,2,0.0,1,6,25,4,175.86,157.19,0.00355,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-26,13,0.0,1,0.0,1,0,26,5,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-27,12,0.0,1,0.0,1,1,27,5,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-28,35,0.0,1,0.0,1,2,28,5,175.86,157.19,0.00892,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-29,9,0.0,1,0.0,1,3,29,5,175.86,157.19,0.07556,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-30,4,0.0,1,0.0,1,4,30,5,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-01-31,6,0.0,2,0.0,1,5,31,5,175.86,157.19,0.00355,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-01,5,0.0,2,0.0,2,6,32,5,175.86,157.19,0.00037,0.00042,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-02,5,0.0,1,0.0,2,0,33,6,175.86,157.19,0.23107,0.33148,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-03,9,0.0,1,0.0,2,1,34,6,175.86,157.19,0.00126,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-04,0,0.0,1,0.0,2,2,35,6,175.86,157.19,0.0053,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-05,10,0.0,1,0.0,2,3,36,6,175.86,157.19,0.01042,0.02076,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-06,4,0.0,1,0.0,2,4,37,6,175.86,157.19,0.01446,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-07,1,0.0,2,0.0,2,5,38,6,175.86,157.19,0.0146,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-08,10,0.0,2,0.0,2,6,39,6,175.86,157.19,0.0146,0.1372,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-09,8,0.0,1,0.0,2,0,40,7,175.86,157.19,0.00178,0.0138,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-10,14,0.0,1,0.0,2,1,41,7,175.86,157.19,0.00234,0.02076,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-11,25,0.0,1,0.0,2,2,42,7,175.86,157.19,0.00105,0.0138,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-12,6,0.0,1,0.0,2,3,43,7,175.86,157.19,0.01446,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
1001,10,2015-02-13,6,0.0,1,0.0,2,4,44,7,175.86,157.19,0.01446,0.07166,7.5,8.95,35,0,5.0,5.35,16,0,3.33023255814,0.0,0.0,0.0,0.0
