id,trip_id,TSB_Item,Auto,Manual,IsAutoTip
1,1,A-1_6,93,0,0
2,1,A-1_18,93,0,0
3,1,A-1_19,93,0,0
4,1,A-1_25,93,0,0
5,1,A-2_5,93,0,0
6,1,A-3_4,93,99,0
7,2,A-1_6,0,0,0
8,2,A-1_18,0,0,0
9,2,A-1_19,1,0,0
10,2,A-1_25,1,0,0
11,2,A-2_5,0,0,0
12,2,A-3_4,0,99,0
13,3,A-1_6,0,0,0
14,3,A-1_18,0,0,0
15,3,A-1_19,1,0,0
16,3,A-1_25,1,0,0
17,3,A-2_5,0,0,0
18,3,A-3_4,0,99,0
19,4,A-1_6,0,0,0
20,4,A-1_18,90,0,0
21,4,A-1_19,1,0,0
22,4,A-1_25,1,0,0
23,4,A-2_5,0,0,0
24,4,A-3_4,0,99,0
25,5,A-1_6,0,0,0
26,5,A-1_18,0,0,0
27,5,A-1_19,1,0,0
28,5,A-1_25,0,0,0
29,5,A-2_5,0,0,0
30,5,A-3_4,0,99,0
31,6,A-1_6,93,0,0
32,6,A-1_18,93,0,0
33,6,A-1_19,93,0,0
34,6,A-1_25,93,0,0
35,6,A-2_5,93,0,0
36,6,A-3_4,93,99,0
37,7,A-1_6,0,0,0
38,7,A-1_18,91,0,0
39,7,A-1_19,91,0,0
40,7,A-1_25,91,0,0
41,7,A-2_5,0,0,0
42,7,A-3_4,0,99,0
43,8,A-1_6,93,0,0
44,8,A-1_18,93,0,0
45,8,A-1_19,93,0,0
46,8,A-1_25,93,0,0
47,8,A-2_5,93,0,0
48,8,A-3_4,93,99,0
49,9,A-1_6,93,0,0
50,9,A-1_18,1,0,0
51,9,A-1_19,1,0,0
52,9,A-1_25,1,0,0
53,9,A-2_5,93,0,0
54,9,A-3_4,93,99,0
55,10,A-1_6,0,0,0
56,10,A-1_18,0,0,0
57,10,A-1_19,1,0,0
58,10,A-1_25,1,0,0
59,10,A-2_5,0,0,0
60,10,A-3_4,0,99,0
61,11,A-1_6,0,0,0
62,11,A-1_18,0,0,0
63,11,A-1_19,0,0,0
64,11,A-1_25,1,1,2
65,11,A-2_5,0,0,0
66,11,A-3_4,0,99,0
67,12,A-1_6,0,0,0
